tier,tool,op,odirect,tasks,n_reps,xfer,block,max_mibps,min_mibps,mean_mibps,stdev_mibps,mean_s,test_file
tmpfs,dd,write,0,1,3,-,2048M,1812.03,1621.29,1748.45,110.12,-,/dev/shm/iyildirim/bench_tiers/dd_test.dat
tmpfs,dd,read,0,1,3,-,2048M,4196.28,4005.54,4100.91,95.37,-,/dev/shm/iyildirim/bench_tiers/dd_test.dat
tmpfs,ior,write,0,4,5,1m,4g,8158.03,7458.51,7855.46,304.88,2.08887,/dev/shm/iyildirim/bench_tiers/ior_test.dat
tmpfs,ior,read,0,4,5,1m,4g,12414.67,11856.93,12209.83,219.47,1.34231,/dev/shm/iyildirim/bench_tiers/ior_test.dat
local_nvme,dd,write,1,1,3,-,2048M,820.18,654.24,709.87,95.53,-,/mnt/nvme/iyildirim/bench_tiers/dd_test.dat
local_nvme,dd,read,1,1,3,-,2048M,1430.55,1239.81,1303.39,110.12,-,/mnt/nvme/iyildirim/bench_tiers/dd_test.dat
local_nvme,ior,write,1,4,5,1m,4g,1081.08,747.13,937.11,109.47,17.74734,/mnt/nvme/iyildirim/bench_tiers/ior_test.dat
local_nvme,ior,read,1,4,5,1m,4g,2398.88,2201.22,2358.12,78.47,6.95602,/mnt/nvme/iyildirim/bench_tiers/ior_test.dat
local_ssd,dd,write,1,1,3,-,2048M,465.41,462.54,463.82,1.46,-,/mnt/ssd/iyildirim/bench_tiers/dd_test.dat
local_ssd,dd,read,1,1,3,-,2048M,518.81,515.95,517.22,1.46,-,/mnt/ssd/iyildirim/bench_tiers/dd_test.dat
local_ssd,ior,write,1,4,5,1m,4g,503.09,502.97,503.02,0.05,32.57110,/mnt/ssd/iyildirim/bench_tiers/ior_test.dat
local_ssd,ior,read,1,4,5,1m,4g,532.03,530.80,531.48,0.48,30.82705,/mnt/ssd/iyildirim/bench_tiers/ior_test.dat
shared_xfs,dd,write,1,1,3,-,2048M,215.54,197.42,208.86,9.96,-,/mnt/common/iyildirim/bench_tiers/dd_test.dat
shared_xfs,dd,read,1,1,3,-,2048M,607.51,555.05,589.70,30.01,-,/mnt/common/iyildirim/bench_tiers/dd_test.dat
shared_xfs,ior,write,1,4,5,1m,4g,861.74,425.70,610.46,171.03,29.01034,/mnt/common/iyildirim/bench_tiers/ior_test.dat
shared_xfs,ior,read,1,4,5,1m,4g,1750.33,753.65,1191.91,320.77,14.76677,/mnt/common/iyildirim/bench_tiers/ior_test.dat
orangefs,dd,write,1,1,3,-,2048M,240.33,228.89,236.52,6.60,-,/mnt/ssd/iyildirim/orangefs/bench_tiers/dd_test.dat
orangefs,dd,read,1,1,3,-,2048M,518.81,458.73,479.71,33.89,-,/mnt/ssd/iyildirim/orangefs/bench_tiers/dd_test.dat
orangefs,ior,write,1,4,5,1m,4g,864.63,796.73,831.24,22.39,19.72456,/mnt/ssd/iyildirim/orangefs/bench_tiers/ior_test.dat
orangefs,ior,read,1,4,5,1m,4g,1309.42,1243.16,1267.54,23.47,12.93024,/mnt/ssd/iyildirim/orangefs/bench_tiers/ior_test.dat
s3,dd,read,0,1,5,-,5_files,1.79,1.41,1.67,0.15,-,/tmp/s3-noaa-goes16/ABI-L2-CMIPC/2024/122/00
