tier,tool,op,odirect,tasks,n_reps,xfer,block,max_mibps,min_mibps,mean_mibps,stdev_mibps,mean_s,ms_per_4mib,test_file
tmpfs,dd,write,0,1,10,-,4M,1049.07,671.40,792.14,143.03,-,5.05,/dev/shm/iyildirim/bench_tiers/dd_test.dat
tmpfs,dd,read,0,1,10,-,4M,2002.77,1144.44,1506.85,261.37,-,2.65,/dev/shm/iyildirim/bench_tiers/dd_test.dat
tmpfs,ior,write,0,1,10,4m,4m,2836.86,1863.93,2633.54,285.01,0.00154,1.52,/dev/shm/iyildirim/bench_tiers/ior_test.dat
tmpfs,ior,read,0,1,10,4m,4m,4641.00,4090.01,4494.39,169.37,0.00089,0.89,/dev/shm/iyildirim/bench_tiers/ior_test.dat
local_nvme,dd,write,1,1,10,-,4M,426.30,352.87,378.43,20.32,-,10.57,/mnt/nvme/iyildirim/bench_tiers/dd_test.dat
local_nvme,dd,read,1,1,10,-,4M,1049.07,934.63,989.65,51.45,-,4.04,/mnt/nvme/iyildirim/bench_tiers/dd_test.dat
local_nvme,ior,write,1,1,10,4m,4m,488.33,178.33,434.75,86.81,0.01002,9.20,/mnt/nvme/iyildirim/bench_tiers/ior_test.dat
local_nvme,ior,read,1,1,10,4m,4m,1718.98,1646.12,1676.19,20.13,0.00239,2.39,/mnt/nvme/iyildirim/bench_tiers/ior_test.dat
local_ssd,dd,write,1,1,10,-,4M,309.95,245.10,284.01,17.89,-,14.08,/mnt/ssd/iyildirim/bench_tiers/dd_test.dat
local_ssd,dd,read,1,1,10,-,4M,441.56,367.17,415.62,25.80,-,9.62,/mnt/ssd/iyildirim/bench_tiers/dd_test.dat
local_ssd,ior,write,1,1,10,4m,4m,356.73,310.03,348.23,12.96,0.01150,11.49,/mnt/ssd/iyildirim/bench_tiers/ior_test.dat
local_ssd,ior,read,1,1,10,4m,4m,512.30,509.23,510.78,1.12,0.00783,7.83,/mnt/ssd/iyildirim/bench_tiers/ior_test.dat
shared_xfs,dd,write,1,1,10,-,4M,299.46,174.53,216.39,39.30,-,18.48,/mnt/common/iyildirim/bench_tiers/dd_test.dat
shared_xfs,dd,read,1,1,10,-,4M,460.64,352.87,414.10,27.78,-,9.66,/mnt/common/iyildirim/bench_tiers/dd_test.dat
shared_xfs,ior,write,1,1,10,4m,4m,378.21,323.44,353.97,18.45,0.01133,11.30,/mnt/common/iyildirim/bench_tiers/ior_test.dat
shared_xfs,ior,read,1,1,10,4m,4m,844.77,628.64,742.56,75.80,0.00545,5.39,/mnt/common/iyildirim/bench_tiers/ior_test.dat
orangefs,dd,write,1,1,10,-,4M,163.08,103.00,149.92,17.17,-,26.68,/mnt/ssd/iyildirim/orangefs/bench_tiers/dd_test.dat
orangefs,dd,read,1,1,10,-,4M,436.79,332.84,374.23,31.05,-,10.69,/mnt/ssd/iyildirim/orangefs/bench_tiers/dd_test.dat
orangefs,ior,write,1,1,10,4m,4m,179.41,105.38,165.67,20.45,0.02469,24.14,/mnt/ssd/iyildirim/orangefs/bench_tiers/ior_test.dat
orangefs,ior,read,1,1,10,4m,4m,600.80,447.93,576.17,42.99,0.00699,6.94,/mnt/ssd/iyildirim/orangefs/bench_tiers/ior_test.dat
s3,dd,read,0,1,10,-,5_files,1.94,1.36,1.80,0.16,-,2218.52,/tmp/s3-noaa-goes16/ABI-L2-CMIPC/2024/122/00
